Puntaje,Goles,Asistencias,Goles + Asistencias,Pases precisos,Pases fallados,Pases totales,Precisión de pase %,Pases precisos en tercio final,Pases clave,Regates completados,Efectividad en regates %,Intercepciones,Tarjetas amarillas,Rojas directas,Tarjetas rojas,Centros precisos,Precisión de centros %,Remates,Remates al arco,Remates fuera,Duelos aéreos ganados,Efectividad en duelos aéreos %,Duelos ganados,Efectividad en duelos %,Minutos jugados,Goles convertidos %,Penales ejecutados,Penales convertidos,Remates de pelota parada,Pases largos precisos,Precisión de pase largo %,Despejes,Errores seguidos por remate,Faltas recibidas,Faltas cometidas,Autogoles,Regateado,Fueras de juego,Remates bloqueados,Pases al asistidor,Atajadas,Centros perdidos,Partidos de titular,penaltyConversion,Centros totales,Duelos perdidos,Pérdidas aéreas,Penales errados,Pases largos totales,scoringFrequency,Doble amarilla,Sustituciones ingresando,Sustituciones saliendo,Saques de arco,Recuperaciones,stats_id,type,Partidos jugados,player_id,league_id,season_id,cleanSheet,goalsConceded
6.7103448275862,0.0,0.0,0.0,669.0,186.0,855.0,78.25,74.0,7.0,7.0,63.64,144.0,11.0,0.0,0.0,4.0,40.0,10.0,2.0,8.0,65.0,53.28,163.0,34.53,2083.0,0.0,0.0,0.0,0.0,60.0,43.48,26.0,17.0,9.0,42.0,0.0,63.0,0.0,4.0,0.0,0.0,0.0,22.0,,10.0,309.0,57.0,0.0,138.0,,0.0,5.0,8.0,0.0,294.0,1291076,overall,31.0,1117077,703,57782,,
6.4666666666667,0.0,0.0,0.0,23.0,6.0,29.0,79.31,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.33,3.0,20.0,52.0,0.0,0.0,0.0,0.0,2.0,33.33,1.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.0,4.0,0.0,6.0,,0.0,0.0,4.0,0.0,5.0,1291502,overall,4.0,1086331,703,57782,,
7.0129032258064,0.0,4.0,4.0,605.0,288.0,893.0,67.75,109.0,19.0,21.0,77.78,168.0,6.0,0.0,2.0,29.0,47.54,15.0,2.0,13.0,44.0,61.97,164.0,43.5,2136.0,0.0,0.0,0.0,2.0,127.0,55.22,62.0,18.0,18.0,25.0,0.0,63.0,1.0,6.0,1.0,0.0,0.0,21.0,,61.0,213.0,27.0,0.0,230.0,,2.0,2.0,11.0,0.0,267.0,1291074,overall,32.0,1100246,703,57782,,
6.7823529411765,0.0,0.0,0.0,351.0,89.0,440.0,79.77,34.0,4.0,7.0,87.5,68.0,2.0,0.0,0.0,5.0,41.67,2.0,0.0,2.0,33.0,57.89,101.0,40.73,1047.0,0.0,0.0,0.0,0.0,28.0,50.0,27.0,7.0,16.0,11.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0,11.0,,12.0,147.0,24.0,0.0,56.0,,0.0,2.0,8.0,0.0,171.0,1291508,overall,19.0,900191,703,57782,,
6.8558823529412,0.0,1.0,1.0,765.0,349.0,1114.0,68.67,125.0,21.0,49.0,64.47,162.0,11.0,1.0,1.0,32.0,34.04,10.0,4.0,6.0,37.0,46.25,260.0,37.3,2925.0,0.0,0.0,0.0,0.0,146.0,54.07,50.0,12.0,23.0,44.0,0.0,97.0,0.0,6.0,2.0,0.0,0.0,33.0,,94.0,437.0,43.0,0.0,270.0,,0.0,4.0,1.0,0.0,350.0,1297969,overall,35.0,978882,703,57782,,
7.0714285714286,2.0,0.0,1.0,366.0,120.0,486.0,75.31,39.0,1.0,3.0,100.0,107.0,3.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,60.0,63.83,125.0,48.64,1686.0,40.0,0.0,0.0,0.0,82.0,55.78,59.0,13.0,8.0,14.0,0.0,25.0,2.0,12.0,0.0,0.0,0.0,19.0,,0.0,132.0,34.0,0.0,147.0,843.0,0.0,2.0,3.0,0.0,213.0,1291501,overall,22.0,1018416,703,57782,,
6.8,0.0,0.0,0.0,24.0,16.0,40.0,60.0,7.0,0.0,5.0,83.33,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,47.5,108.0,0.0,0.0,0.0,0.0,7.0,43.75,6.0,1.0,6.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,,4.0,21.0,0.0,0.0,16.0,,0.0,0.0,1.0,0.0,9.0,1291070,overall,2.0,1425093,703,57782,,
7.0035714285714,1.0,0.0,1.0,784.0,223.0,1007.0,77.86,96.0,2.0,7.0,87.5,140.0,7.0,1.0,2.0,2.0,25.0,11.0,1.0,10.0,59.0,59.6,163.0,47.94,2299.0,9.091,0.0,0.0,0.0,130.0,54.62,59.0,18.0,23.0,23.0,0.0,29.0,1.0,21.0,0.0,0.0,0.0,25.0,,8.0,177.0,40.0,0.0,238.0,2299.0,1.0,1.0,4.0,13.0,300.0,1297970,overall,29.0,175089,703,57782,,
6.96875,0.0,0.0,0.0,377.0,122.0,499.0,75.55,64.0,3.0,0.0,0.0,82.0,3.0,0.0,0.0,4.0,33.33,3.0,1.0,2.0,40.0,60.61,101.0,43.16,1382.0,0.0,0.0,0.0,0.0,70.0,55.12,44.0,6.0,5.0,21.0,0.0,30.0,0.0,7.0,1.0,0.0,0.0,16.0,,12.0,133.0,26.0,0.0,127.0,,0.0,3.0,1.0,0.0,160.0,1291078,overall,17.0,885186,703,57782,,
6.9361111111111,0.0,0.0,0.0,747.0,183.0,930.0,80.32,63.0,0.0,2.0,66.67,158.0,6.0,0.0,0.0,1.0,33.33,2.0,1.0,1.0,125.0,59.81,264.0,44.9,3301.0,0.0,0.0,0.0,0.0,131.0,58.74,95.0,31.0,13.0,43.0,0.0,52.0,1.0,33.0,0.0,0.0,0.0,37.0,,3.0,324.0,84.0,0.0,223.0,,0.0,1.0,0.0,0.0,406.0,1291075,overall,37.0,385424,703,57782,,
