event_id,team,team_id,score_for,score_against,win,draw,loose,local
11972430,Chaco For Ever,252726,0,2,False,False,True,Away
11972446,Talleres R.E.,201162,0,1,False,False,True,Home
11972446,Estudiantes B.A.,93107,1,0,True,False,False,Away
11972454,Defensores,52215,0,0,False,True,False,Home
11972454,Temperley,112499,0,0,False,True,False,Away
11972455,Almagro,4938,0,0,False,True,False,Home
11972455,Brown de Adrogué,107201,0,0,False,True,False,Away
11972449,Def. Unidos,93515,0,0,False,True,False,Home
11972449,Mitre,255425,0,0,False,True,False,Away
11972450,Deportivo Madryn,222120,0,0,False,True,False,Home
11972450,Gimnasia y Tiro,222126,0,0,False,True,False,Away
11972442,Deportivo Maipú,213042,0,2,False,False,True,Home
11972442,San Martín,7772,2,0,True,False,False,Away
11972443,Ferro Carril Oeste,36841,1,1,False,True,False,Home
11972443,Arsenal,3221,1,1,False,True,False,Away
11972441,Gimnasia J.,5292,1,0,True,False,False,Home
11972441,Guillermo Brown,53801,0,1,False,False,True,Away
11972440,Güemes,224646,1,1,False,True,False,Home
11972440,Agropecuario,265787,1,1,False,True,False,Away
11972452,San Telmo,213361,1,0,True,False,False,Home
11972452,Nueva Chicago,3200,0,1,False,False,True,Away
11972438,Racing de Córdoba,273657,1,1,False,True,False,Home
11972438,Tristán Suárez,93513,1,1,False,True,False,Away
11972453,Chaco For Ever,252726,0,2,False,False,True,Home
11972453,Dep. Morón,93109,2,0,True,False,False,Away
11972439,Alvarado,273715,1,0,True,False,False,Home
11972439,All Boys,36834,0,1,False,False,True,Away
11972451,Atlético Rafaela,34976,4,1,True,False,False,Home
11972451,Gimnasia Mendoza,188441,1,4,False,False,True,Away
11972456,Colón,3207,4,0,True,False,False,Home
11972456,Patronato,43741,0,4,False,False,True,Away
11972445,Quilmes,4936,1,0,True,False,False,Home
11972445,Chacarita Jrs.,3214,0,1,False,False,True,Away
11972444,San Miguel,264945,1,0,True,False,False,Home
11972444,SM Tucumán,23950,0,1,False,False,True,Away
12074926,Atlanta,53799,0,2,False,False,True,Home
12074926,Aldosivi,36836,2,0,True,False,False,Away
12239239,Almirante Brown,43740,0,3,False,False,True,Home
