player,id,jersey,position,substitute,minutes,order,line,lat,pos,local,team,formation,defense,midfield,attack,averageX,averageY,pointsCount,event_id
Luciano Jachfe,1020522,1,G,False,90,1,por,1/1,POR,Home,Mitre,4-3-3,4,3,3,14.85,52.175,40.0,11972394
Brian Mieres,830656,4,D,False,90,2,def,1/4,DEF,Home,Mitre,4-3-3,4,3,3,53.151898734177,16.379746835443,79.0,11972394
Brian Mieres,830656,4,D,False,90,2,def,1/4,DEF,Home,Mitre,4-3-3,4,3,3,53.151898734177,16.379746835443,79.0,11972394
Brian Mieres,830656,4,D,False,90,2,def,1/4,DEF,Home,Mitre,4-3-3,4,3,3,53.151898734177,16.379746835443,79.0,11972394
Brian Mieres,830656,4,D,False,90,2,def,1/4,DEF,Home,Mitre,4-3-3,4,3,3,53.151898734177,16.379746835443,79.0,11972394
Brian Mieres,830656,4,D,False,90,2,def,1/4,DEF,Home,Mitre,4-3-3,4,3,3,53.151898734177,16.379746835443,79.0,11972394
Nicolás Agorreca,1214049,2,D,False,90,3,def,2/4,DEF,Home,Mitre,4-3-3,4,3,3,33.708333333333,25.895833333333,48.0,11972394
Oscar Piris,933167,6,D,False,90,4,def,3/4,DEF,Home,Mitre,4-3-3,4,3,3,34.084745762712,62.152542372881,59.0,11972394
Marcos Sánchez,941428,3,D,False,90,5,def,4/4,DEF,Home,Mitre,4-3-3,4,3,3,51.935483870968,82.661290322581,62.0,11972394
Matías Fabio Ferrari,1605141,8,M,False,80,6,mid_1,1/3,MED,Home,Mitre,4-3-3,4,3,3,61.241935483871,27.193548387097,62.0,11972394
Juan Alessandroni,933174,5,M,False,90,7,mid_1,2/3,MED,Home,Mitre,4-3-3,4,3,3,45.903225806452,59.225806451613,62.0,11972394
Juan Pablo Gobetto,1094083,10,M,False,80,8,mid_1,3/3,MED,Home,Mitre,4-3-3,4,3,3,62.586956521739,66.913043478261,46.0,11972394
Agustín Ramírez,980926,7,F,False,65,9,ata,1/3,ATA,Home,Mitre,4-3-3,4,3,3,71.4,18.3,40.0,11972394
Nelson Romero,933179,9,F,False,80,10,ata,2/3,ATA,Home,Mitre,4-3-3,4,3,3,65.74358974359,46.25641025641,39.0,11972394
Kevin Isa,980541,11,F,False,86,11,ata,3/3,ATA,Home,Mitre,4-3-3,4,3,3,61.4,63.85,40.0,11972394
Javier Bayk,924224,18,F,True,25,12,,,SUS,Home,Mitre,4-3-3,4,3,3,82.363636363636,86.818181818182,22.0,11972394
Tobías Coppo,989211,15,M,True,10,13,,,SUS,Home,Mitre,4-3-3,4,3,3,63.923076923077,64.846153846154,13.0,11972394
Tomás Alejandro Castro,1653852,16,M,True,10,14,,,SUS,Home,Mitre,4-3-3,4,3,3,54.888888888889,23.333333333333,9.0,11972394
Franco Posse,1650446,19,F,True,10,15,,,SUS,Home,Mitre,4-3-3,4,3,3,67.263157894737,71.0,19.0,11972394
Tiago Martín Ferreyra,1653851,13,D,True,4,16,,,SUS,Home,Mitre,4-3-3,4,3,3,30.5,66.833333333333,6.0,11972394
Joaquín Ledesma,1112851,12,G,True,0,17,,,SUS,Home,Mitre,4-3-3,4,3,3,,,,11972394
Cristian Díaz,249979,14,D,True,0,18,,,SUS,Home,Mitre,4-3-3,4,3,3,,,,11972394
José Torres,951056,17,M,True,0,19,,,SUS,Home,Mitre,4-3-3,4,3,3,,,,11972394
Joan Juncos,789419,20,F,True,0,20,,,SUS,Home,Mitre,4-3-3,4,3,3,,,,11972394
Brian Bustos,885513,1,G,False,90,1,por,1/1,POR,Away,San Telmo,4-3-3,4,3,3,10.464285714286,51.928571428571,56.0,11972394
Martin Vallejos,1514482,4,D,False,90,2,def,1/4,DEF,Away,San Telmo,4-3-3,4,3,3,34.661764705882,10.323529411765,68.0,11972394
Hector González,991108,2,D,False,90,3,def,2/4,DEF,Away,San Telmo,4-3-3,4,3,3,26.6125,30.525,80.0,11972394
Agustín Francisco Lamosa,1605142,6,D,False,90,4,def,3/4,DEF,Away,San Telmo,4-3-3,4,3,3,30.11320754717,67.207547169811,53.0,11972394
Rodrigo Ayala,790190,3,D,False,90,5,def,4/4,DEF,Away,San Telmo,4-3-3,4,3,3,41.306666666667,86.08,75.0,11972394
Emiliano Franco,830888,8,M,False,61,6,mid_1,1/3,MED,Away,San Telmo,4-3-3,4,3,3,48.918918918919,34.621621621622,37.0,11972394
Gabriel Ramirez,849139,5,M,False,83,7,mid_1,2/3,MED,Away,San Telmo,4-3-3,4,3,3,36.324324324324,53.0,74.0,11972394
Adrian Fernandez,1121463,10,M,False,83,8,mid_1,3/3,MED,Away,San Telmo,4-3-3,4,3,3,47.694915254237,51.067796610169,59.0,11972394
Iñaki Lartirigoyen,1133394,7,F,False,66,9,ata,1/3,ATA,Away,San Telmo,4-3-3,4,3,3,53.66,22.22,50.0,11972394
Iñaki Lartirigoyen,1133394,7,F,False,66,9,ata,1/3,ATA,Away,San Telmo,4-3-3,4,3,3,53.66,22.22,50.0,11972394
Iñaki Lartirigoyen,1133394,7,F,False,66,9,ata,1/3,ATA,Away,San Telmo,4-3-3,4,3,3,53.66,22.22,50.0,11972394
Iñaki Lartirigoyen,1133394,7,F,False,66,9,ata,1/3,ATA,Away,San Telmo,4-3-3,4,3,3,53.66,22.22,50.0,11972394
Iñaki Lartirigoyen,1133394,7,F,False,66,9,ata,1/3,ATA,Away,San Telmo,4-3-3,4,3,3,53.66,22.22,50.0,11972394
Nicolás Javier Heiz,1605143,9,F,False,66,10,ata,2/3,ATA,Away,San Telmo,4-3-3,4,3,3,49.16,51.72,25.0,11972394
German Mayenfisch,927422,11,F,False,66,11,ata,3/3,ATA,Away,San Telmo,4-3-3,4,3,3,59.571428571429,76.964285714286,28.0,11972394
Rodrigo González,1109292,18,M,True,24,12,,,SUS,Away,San Telmo,4-3-3,4,3,3,53.421052631579,70.578947368421,19.0,11972394
Alexis Cossi,971191,14,M,True,24,13,,,SUS,Away,San Telmo,4-3-3,4,3,3,53.363636363636,22.272727272727,22.0,11972394
Franco Ayunta,1018405,20,F,True,24,14,,,SUS,Away,San Telmo,4-3-3,4,3,3,54.964285714286,45.714285714286,28.0,11972394
Gianfranco Lillo,1653787,13,D,True,7,15,,,SUS,Away,San Telmo,4-3-3,4,3,3,28.571428571429,55.714285714286,7.0,11972394
Franco Tisera,1182417,19,F,True,7,16,,,SUS,Away,San Telmo,4-3-3,4,3,3,71.333333333333,59.0,9.0,11972394
Gonzalo Gimenez,796764,15,M,True,0,17,,,SUS,Away,San Telmo,4-3-3,4,3,3,,,,11972394
Cristian Medina,1109313,16,M,True,0,18,,,SUS,Away,San Telmo,4-3-3,4,3,3,,,,11972394
Matias Salerno,1653788,17,F,True,0,19,,,SUS,Away,San Telmo,4-3-3,4,3,3,,,,11972394
Matias Balderrama,1653786,12,,True,0,20,,,SUS,Away,San Telmo,4-3-3,4,3,3,,,,11972394
Tiago Libares,1106006,1,G,False,90,1,por,1/1,POR,Home,All Boys,4-4-2,4,4,2,8.05,51.075,40.0,11972389
Hernán Grana,79669,4,D,False,90,2,def,1/4,DEF,Home,All Boys,4-4-2,4,4,2,42.555555555556,13.907407407407,54.0,11972389
Jonathan Ferrari,248147,6,D,False,90,3,def,2/4,DEF,Home,All Boys,4-4-2,4,4,2,27.928571428571,42.75,28.0,11972389
Maximiliano Coronel,80540,2,D,False,90,4,def,3/4,DEF,Home,All Boys,4-4-2,4,4,2,33.357142857143,63.238095238095,42.0,11972389
Alejo Tabares,1086327,3,D,False,90,5,def,4/4,DEF,Home,All Boys,4-4-2,4,4,2,43.306451612903,87.41935483871,62.0,11972389
Tomás Assennato,1018466,11,M,False,75,6,mid_1,1/4,MED,Home,All Boys,4-4-2,4,4,2,63.083333333333,24.083333333333,24.0,11972389
Alexis Melo,1215983,8,M,False,90,7,mid_1,2/4,MED,Home,All Boys,4-4-2,4,4,2,50.380952380952,43.380952380952,42.0,11972389
Alexis Melo,1215983,8,M,False,90,7,mid_1,2/4,MED,Home,All Boys,4-4-2,4,4,2,50.380952380952,43.380952380952,42.0,11972389
Alexis Melo,1215983,8,M,False,90,7,mid_1,2/4,MED,Home,All Boys,4-4-2,4,4,2,50.380952380952,43.380952380952,42.0,11972389
Alexis Melo,1215983,8,M,False,90,7,mid_1,2/4,MED,Home,All Boys,4-4-2,4,4,2,50.380952380952,43.380952380952,42.0,11972389
Alexis Melo,1215983,8,M,False,90,7,mid_1,2/4,MED,Home,All Boys,4-4-2,4,4,2,50.380952380952,43.380952380952,42.0,11972389
Alexis Melo,1215983,8,M,False,90,7,mid_1,2/4,MED,Home,All Boys,4-4-2,4,4,2,50.380952380952,43.380952380952,42.0,11972389
Santiago Gallucci,340453,5,M,False,85,8,mid_1,3/4,MED,Home,All Boys,4-4-2,4,4,2,48.513513513514,56.621621621622,37.0,11972389
Joaquin Ibáñez,892452,10,M,False,71,9,mid_1,4/4,MED,Home,All Boys,4-4-2,4,4,2,53.578947368421,79.736842105263,38.0,11972389
Thiago Ezequiel Calone,1597672,7,F,False,85,10,ata,1/2,ATA,Home,All Boys,4-4-2,4,4,2,73.843137254902,50.490196078431,51.0,11972389
Agustin Gallo,1130221,9,F,False,90,11,ata,2/2,ATA,Home,All Boys,4-4-2,4,4,2,63.5625,49.34375,64.0,11972389
Alejo Antilef,922436,20,M,True,19,12,,,SUS,Home,All Boys,4-4-2,4,4,2,59.071428571429,69.571428571429,14.0,11972389
Alexis Vega,883924,19,M,True,15,13,,,SUS,Home,All Boys,4-4-2,4,4,2,59.375,41.75,8.0,11972389
Juan Salas,990059,14,M,True,5,14,,,SUS,Home,All Boys,4-4-2,4,4,2,58.777777777778,14.888888888889,9.0,11972389
Santiago Cáceres,1549513,17,M,True,5,15,,,SUS,Home,All Boys,4-4-2,4,4,2,28.5,73.0,4.0,11972389
Alejo Rodriguez,1488560,13,D,True,0,16,,,SUS,Home,All Boys,4-4-2,4,4,2,,,,11972389
Santiago Rodriguez,1142011,15,M,True,0,17,,,SUS,Home,All Boys,4-4-2,4,4,2,,,,11972389
Santiago Patroni,1654079,16,M,True,0,18,,,SUS,Home,All Boys,4-4-2,4,4,2,,,,11972389
Diego Guallama,1654081,18,F,True,0,19,,,SUS,Home,All Boys,4-4-2,4,4,2,,,,11972389
Michael Alessandro Lopez,1514425,12,,True,0,20,,,SUS,Home,All Boys,4-4-2,4,4,2,,,,11972389
Luciano Silva,1197974,1,G,False,90,1,por,1/1,POR,Away,Tristán Suárez,4-1-4-1,4,5,1,7.8333333333333,48.285714285714,42.0,11972389
Nicolas Alvarez,856035,4,D,False,90,2,def,1/4,DEF,Away,Tristán Suárez,4-1-4-1,4,5,1,48.473684210526,16.065789473684,76.0,11972389
Nicolas Alvarez,856035,4,D,False,90,2,def,1/4,DEF,Away,Tristán Suárez,4-1-4-1,4,5,1,48.473684210526,16.065789473684,76.0,11972389
Nicolas Alvarez,856035,4,D,False,90,2,def,1/4,DEF,Away,Tristán Suárez,4-1-4-1,4,5,1,48.473684210526,16.065789473684,76.0,11972389
Nicolas Alvarez,856035,4,D,False,90,2,def,1/4,DEF,Away,Tristán Suárez,4-1-4-1,4,5,1,48.473684210526,16.065789473684,76.0,11972389
Nicolas Alvarez,856035,4,D,False,90,2,def,1/4,DEF,Away,Tristán Suárez,4-1-4-1,4,5,1,48.473684210526,16.065789473684,76.0,11972389
Iago Iriarte,1119882,2,D,False,90,3,def,2/4,DEF,Away,Tristán Suárez,4-1-4-1,4,5,1,33.336633663366,28.980198019802,101.0,11972389
Brian Negro,989991,6,D,False,90,4,def,3/4,DEF,Away,Tristán Suárez,4-1-4-1,4,5,1,29.605504587156,71.587155963303,109.0,11972389
Brian Guerrero Ruiz,1654072,3,D,False,90,5,def,4/4,DEF,Away,Tristán Suárez,4-1-4-1,4,5,1,42.698412698413,82.492063492063,63.0,11972389
Ignacio Cechi,1086334,5,M,False,80,6,mid_0,1/1,MED,Away,Tristán Suárez,4-1-4-1,4,5,1,34.166666666667,52.922222222222,90.0,11972389
Federico Versaci,1017431,8,M,False,67,7,mid_2,1/4,MED,Away,Tristán Suárez,4-1-4-1,4,5,1,61.864864864865,35.243243243243,37.0,11972389
Pablo Ruiz,789948,10,M,False,90,8,mid_2,2/4,MED,Away,Tristán Suárez,4-1-4-1,4,5,1,45.452991452991,45.034188034188,117.0,11972389
José Luis Fernández,144191,11,M,False,56,9,mid_2,3/4,MED,Away,Tristán Suárez,4-1-4-1,4,5,1,51.269230769231,58.192307692308,26.0,11972389
Agustín Lavezzi,1021876,7,M,False,67,10,mid_2,4/4,MED,Away,Tristán Suárez,4-1-4-1,4,5,1,64.588235294118,69.147058823529,34.0,11972389
Leonardo Javier Ramos,808679,9,F,False,56,11,ata,1/1,ATA,Away,Tristán Suárez,4-1-4-1,4,5,1,55.041666666667,49.416666666667,24.0,11972389
Juan Da Rosa,1018419,18,M,True,34,12,,,SUS,Away,Tristán Suárez,4-1-4-1,4,5,1,60.153846153846,51.038461538462,26.0,11972389
Gianluca Ezequiel Banuera,1598397,19,F,True,34,13,,,SUS,Away,Tristán Suárez,4-1-4-1,4,5,1,72.375,34.75,16.0,11972389
Ángel Almada,1180582,17,M,True,23,14,,,SUS,Away,Tristán Suárez,4-1-4-1,4,5,1,42.8125,59.4375,16.0,11972389
Francisco Molina,1654073,20,M,True,23,15,,,SUS,Away,Tristán Suárez,4-1-4-1,4,5,1,68.619047619048,35.0,21.0,11972389
Franco Nahuel Berges,1654196,15,M,True,10,16,,,SUS,Away,Tristán Suárez,4-1-4-1,4,5,1,39.227272727273,57.636363636364,22.0,11972389
Joaquín Mendive,875234,12,G,True,0,17,,,SUS,Away,Tristán Suárez,4-1-4-1,4,5,1,,,,11972389
Iván Regules,944699,14,D,True,0,18,,,SUS,Away,Tristán Suárez,4-1-4-1,4,5,1,,,,11972389
Leonel Canzoniero,1180585,13,D,True,0,19,,,SUS,Away,Tristán Suárez,4-1-4-1,4,5,1,,,,11972389
Thomas Ortega,1017439,16,D,True,0,20,,,SUS,Away,Tristán Suárez,4-1-4-1,4,5,1,,,,11972389
Federico Losas,1003020,1,G,False,90,1,por,1/1,POR,Home,Chacarita Jrs.,4-4-2,4,4,2,9.8235294117647,50.0,34.0,11972383
Matías Fernando Vera,1597481,4,D,False,75,2,def,1/4,DEF,Home,Chacarita Jrs.,4-4-2,4,4,2,48.805555555556,12.972222222222,36.0,11972383
Tomás Oneto,871814,2,D,False,90,3,def,2/4,DEF,Home,Chacarita Jrs.,4-4-2,4,4,2,29.585365853659,41.951219512195,41.0,11972383
Nahuel Brunet,1182501,6,D,False,90,4,def,3/4,DEF,Home,Chacarita Jrs.,4-4-2,4,4,2,31.290909090909,68.109090909091,55.0,11972383
Nicolás Chávez,1020496,3,D,False,90,5,def,4/4,DEF,Home,Chacarita Jrs.,4-4-2,4,4,2,48.367647058824,85.735294117647,68.0,11972383
Nicolás Chávez,1020496,3,D,False,90,5,def,4/4,DEF,Home,Chacarita Jrs.,4-4-2,4,4,2,48.367647058824,85.735294117647,68.0,11972383
Nicolás Chávez,1020496,3,D,False,90,5,def,4/4,DEF,Home,Chacarita Jrs.,4-4-2,4,4,2,48.367647058824,85.735294117647,68.0,11972383
Nicolás Chávez,1020496,3,D,False,90,5,def,4/4,DEF,Home,Chacarita Jrs.,4-4-2,4,4,2,48.367647058824,85.735294117647,68.0,11972383
Nicolás Chávez,1020496,3,D,False,90,5,def,4/4,DEF,Home,Chacarita Jrs.,4-4-2,4,4,2,48.367647058824,85.735294117647,68.0,11972383
Claudio Pombo,897060,7,M,False,89,6,mid_1,1/4,MED,Home,Chacarita Jrs.,4-4-2,4,4,2,55.311111111111,25.177777777778,45.0,11972383
Nicolas Watson,994455,5,M,False,90,7,mid_1,2/4,MED,Home,Chacarita Jrs.,4-4-2,4,4,2,48.333333333333,58.037037037037,54.0,11972383
Juan Pablo Passaglia,312032,8,M,False,90,8,mid_1,3/4,MED,Home,Chacarita Jrs.,4-4-2,4,4,2,51.7,69.96,50.0,11972383
Fernando Brandan,789378,11,M,False,68,9,mid_1,4/4,MED,Home,Chacarita Jrs.,4-4-2,4,4,2,68.413043478261,79.826086956522,46.0,11972383
Ramiro Costa,339871,9,F,False,46,10,ata,1/2,ATA,Home,Chacarita Jrs.,4-4-2,4,4,2,77.272727272727,54.681818181818,22.0,11972383
Matías Pisano,579384,10,F,False,46,11,ata,2/2,ATA,Home,Chacarita Jrs.,4-4-2,4,4,2,77.162162162162,61.432432432432,37.0,11972383
Exequiel Beltramone,895335,17,M,True,44,12,,,SUS,Home,Chacarita Jrs.,4-4-2,4,4,2,61.666666666667,76.185185185185,27.0,11972383
Sebastián Cocimano,1018462,19,F,True,44,13,,,SUS,Home,Chacarita Jrs.,4-4-2,4,4,2,61.947368421053,66.5,38.0,11972383
Julian Domke,1119874,15,M,True,22,14,,,SUS,Home,Chacarita Jrs.,4-4-2,4,4,2,36.333333333333,42.761904761905,21.0,11972383
Tobías Fernandez,1384649,14,D,True,15,15,,,SUS,Home,Chacarita Jrs.,4-4-2,4,4,2,34.526315789474,21.842105263158,19.0,11972383
Matías Belloso,1084973,18,M,True,1,16,,,SUS,Home,Chacarita Jrs.,4-4-2,4,4,2,55.666666666667,16.666666666667,3.0,11972383
Marino Arzamendia,870122,12,G,True,0,17,,,SUS,Home,Chacarita Jrs.,4-4-2,4,4,2,,,,11972383
Sebastian Alvarez,263475,13,D,True,0,18,,,SUS,Home,Chacarita Jrs.,4-4-2,4,4,2,,,,11972383
Víctor Figueroa,250011,16,M,True,0,19,,,SUS,Home,Chacarita Jrs.,4-4-2,4,4,2,,,,11972383
Rodrigo Salinas,992514,20,F,True,0,20,,,SUS,Home,Chacarita Jrs.,4-4-2,4,4,2,,,,11972383
Gonzalo Rehak,830692,1,G,False,90,1,por,1/1,POR,Away,Deportivo Maipú,4-3-3,4,3,3,10.5875,45.65,80.0,11972383
Santiago Moyano,884931,4,D,False,73,2,def,1/4,DEF,Away,Deportivo Maipú,4-3-3,4,3,3,37.177419354839,17.161290322581,62.0,11972383
Felipe Coronel,1117027,2,D,False,90,3,def,2/4,DEF,Away,Deportivo Maipú,4-3-3,4,3,3,25.359375,27.296875,64.0,11972383
Patricio Ostachuk,1093193,6,D,False,90,4,def,3/4,DEF,Away,Deportivo Maipú,4-3-3,4,3,3,31.418181818182,64.472727272727,55.0,11972383
Patricio Ostachuk,1093193,6,D,False,90,4,def,3/4,DEF,Away,Deportivo Maipú,4-3-3,4,3,3,31.418181818182,64.472727272727,55.0,11972383
Patricio Ostachuk,1093193,6,D,False,90,4,def,3/4,DEF,Away,Deportivo Maipú,4-3-3,4,3,3,31.418181818182,64.472727272727,55.0,11972383
Patricio Ostachuk,1093193,6,D,False,90,4,def,3/4,DEF,Away,Deportivo Maipú,4-3-3,4,3,3,31.418181818182,64.472727272727,55.0,11972383
Patricio Ostachuk,1093193,6,D,False,90,4,def,3/4,DEF,Away,Deportivo Maipú,4-3-3,4,3,3,31.418181818182,64.472727272727,55.0,11972383
Matías Viguet,989395,3,D,False,46,5,def,4/4,DEF,Away,Deportivo Maipú,4-3-3,4,3,3,35.083333333333,86.25,24.0,11972383
Rodrigo Rámirez,1087336,5,M,False,90,6,mid_1,1/3,MED,Away,Deportivo Maipú,4-3-3,4,3,3,39.762711864407,47.779661016949,59.0,11972383
Gastón Mansilla,1128477,7,M,False,46,7,mid_1,2/3,MED,Away,Deportivo Maipú,4-3-3,4,3,3,29.333333333333,43.066666666667,15.0,11972383
Emiliano Osuna,800242,11,M,False,90,8,mid_1,3/3,MED,Away,Deportivo Maipú,4-3-3,4,3,3,63.183333333333,68.1,60.0,11972383
Fausto Montero,249331,8,F,False,55,9,ata,1/3,ATA,Away,Deportivo Maipú,4-3-3,4,3,3,50.230769230769,35.5,26.0,11972383
Alan Ortíz,1066569,10,F,False,90,10,ata,2/3,ATA,Away,Deportivo Maipú,4-3-3,4,3,3,59.642857142857,33.309523809524,42.0,11972383
Fernando Márquez,249069,9,F,False,73,11,ata,3/3,ATA,Away,Deportivo Maipú,4-3-3,4,3,3,61.1875,44.3125,48.0,11972383
Luciano Ortega,1110186,18,M,True,44,12,,,SUS,Away,Deportivo Maipú,4-3-3,4,3,3,68.034482758621,67.827586206897,29.0,11972383
Misael Sosa,1650465,17,F,True,44,13,,,SUS,Away,Deportivo Maipú,4-3-3,4,3,3,77.838709677419,47.41935483871,31.0,11972383
Federico Rasic,1392678,20,F,True,35,14,,,SUS,Away,Deportivo Maipú,4-3-3,4,3,3,75.242424242424,53.636363636364,33.0,11972383
Luciano Paredes,1201019,15,D,True,17,15,,,SUS,Away,Deportivo Maipú,4-3-3,4,3,3,45.153846153846,14.230769230769,26.0,11972383
Ezequiel Almirón,1131025,19,M,True,17,16,,,SUS,Away,Deportivo Maipú,4-3-3,4,3,3,70.571428571429,36.642857142857,14.0,11972383
Juan Pablo Noce,860070,12,G,True,0,17,,,SUS,Away,Deportivo Maipú,4-3-3,4,3,3,,,,11972383
Leandro Vega,988200,13,D,True,0,18,,,SUS,Away,Deportivo Maipú,4-3-3,4,3,3,,,,11972383
Santiago Paulini,1650470,14,D,True,0,19,,,SUS,Away,Deportivo Maipú,4-3-3,4,3,3,,,,11972383
Andrés Lioi,922452,16,M,True,0,20,,,SUS,Away,Deportivo Maipú,4-3-3,4,3,3,,,,11972383
Juan Martin Rojas,1092606,1,G,False,90,1,por,1/1,POR,Home,Dep. Morón,4-1-3-2,4,4,2,7.4782608695652,47.652173913043,23.0,11972390
Rodrigo Arciero,544188,4,D,False,90,2,def,1/4,DEF,Home,Dep. Morón,4-1-3-2,4,4,2,51.658536585366,15.560975609756,41.0,11972390
Brian Machuca,1001922,2,D,False,72,3,def,2/4,DEF,Home,Dep. Morón,4-1-3-2,4,4,2,32.1,38.65,20.0,11972390
Agustin Gomez,873645,6,D,False,90,4,def,3/4,DEF,Home,Dep. Morón,4-1-3-2,4,4,2,36.409090909091,62.886363636364,44.0,11972390
Nicolás Henry,941498,3,D,False,90,5,def,4/4,DEF,Home,Dep. Morón,4-1-3-2,4,4,2,48.239130434783,87.021739130435,46.0,11972390
Pablo Ferreira,1210807,5,M,False,90,6,mid_0,1/1,MED,Home,Dep. Morón,4-1-3-2,4,4,2,39.72,49.66,50.0,11972390
Gonzalo Berterame,984928,7,M,False,72,7,mid_2,1/3,MED,Home,Dep. Morón,4-1-3-2,4,4,2,55.786885245902,34.409836065574,61.0,11972390
Gaston Gonzalez,192414,8,M,False,68,8,mid_2,2/3,MED,Home,Dep. Morón,4-1-3-2,4,4,2,60.793103448276,49.172413793103,29.0,11972390
Juan Manuel Olivares,585954,10,M,False,90,9,mid_2,3/3,MED,Home,Dep. Morón,4-1-3-2,4,4,2,60.521739130435,60.608695652174,69.0,11972390
Santiago Sala,1092609,11,F,False,61,10,ata,1/2,ATA,Home,Dep. Morón,4-1-3-2,4,4,2,68.608695652174,42.54347826087,46.0,11972390
Ezequiel Rescaldani,147350,9,F,False,90,11,ata,2/2,ATA,Home,Dep. Morón,4-1-3-2,4,4,2,65.815789473684,55.789473684211,38.0,11972390
Matías Sebastián Romero,1597532,19,F,True,29,12,,,SUS,Home,Dep. Morón,4-1-3-2,4,4,2,50.4,51.3,20.0,11972390
Agustín Curruhinca,1007942,16,M,True,22,13,,,SUS,Home,Dep. Morón,4-1-3-2,4,4,2,65.333333333333,43.416666666667,12.0,11972390
Agustín Curruhinca,1007942,16,M,True,22,13,,,SUS,Home,Dep. Morón,4-1-3-2,4,4,2,65.333333333333,43.416666666667,12.0,11972390
Agustín Curruhinca,1007942,16,M,True,22,13,,,SUS,Home,Dep. Morón,4-1-3-2,4,4,2,65.333333333333,43.416666666667,12.0,11972390
Agustín Curruhinca,1007942,16,M,True,22,13,,,SUS,Home,Dep. Morón,4-1-3-2,4,4,2,65.333333333333,43.416666666667,12.0,11972390
Agustín Curruhinca,1007942,16,M,True,22,13,,,SUS,Home,Dep. Morón,4-1-3-2,4,4,2,65.333333333333,43.416666666667,12.0,11972390
Agustín Curruhinca,1007942,16,M,True,22,13,,,SUS,Home,Dep. Morón,4-1-3-2,4,4,2,65.333333333333,43.416666666667,12.0,11972390
Emilio Sebastián Lazza,1190579,18,D,True,18,14,,,SUS,Home,Dep. Morón,4-1-3-2,4,4,2,38.454545454545,72.454545454545,11.0,11972390
Patricio Leonardo Núñez,1597538,20,M,True,18,15,,,SUS,Home,Dep. Morón,4-1-3-2,4,4,2,64.037037037037,27.037037037037,27.0,11972390
Dante Monzon,1119711,12,G,True,0,16,,,SUS,Home,Dep. Morón,4-1-3-2,4,4,2,,,,11972390
Mariano Bracamonte,951068,15,M,True,0,17,,,SUS,Home,Dep. Morón,4-1-3-2,4,4,2,,,,11972390
Julian Vitale,796601,14,M,True,0,18,,,SUS,Home,Dep. Morón,4-1-3-2,4,4,2,,,,11972390
Pablo Cáceres,1467900,13,F,True,0,19,,,SUS,Home,Dep. Morón,4-1-3-2,4,4,2,,,,11972390
Mauro Schönfeld,1489060,17,F,True,0,20,,,SUS,Home,Dep. Morón,4-1-3-2,4,4,2,,,,11972390
Adrián Peralta,981448,1,G,False,90,1,por,1/1,POR,Away,Brown de Adrogué,4-4-2,4,4,2,9.4571428571429,48.057142857143,35.0,11972390
Mauro Luque,1066571,4,D,False,90,2,def,1/4,DEF,Away,Brown de Adrogué,4-4-2,4,4,2,42.345679012346,31.123456790123,81.0,11972390
Abel Masuero,174891,2,D,False,90,3,def,2/4,DEF,Away,Brown de Adrogué,4-4-2,4,4,2,35.303571428571,33.017857142857,56.0,11972390
Nicolás Herranz,840764,6,D,False,90,4,def,3/4,DEF,Away,Brown de Adrogué,4-4-2,4,4,2,28.64,67.16,50.0,11972390
Gonzalo Gamarra,905493,3,D,False,79,5,def,4/4,DEF,Away,Brown de Adrogué,4-4-2,4,4,2,51.121212121212,79.393939393939,66.0,11972390
Rafael Sangiovani,1087012,8,M,False,72,6,mid_1,1/4,MED,Away,Brown de Adrogué,4-4-2,4,4,2,52.294117647059,30.411764705882,34.0,11972390
Gonzalo Desio,1086994,7,M,False,90,7,mid_1,2/4,MED,Away,Brown de Adrogué,4-4-2,4,4,2,38.255813953488,48.093023255814,43.0,11972390
Nahuel Pereyra,896860,5,M,False,58,8,mid_1,3/4,MED,Away,Brown de Adrogué,4-4-2,4,4,2,38.459459459459,50.837837837838,37.0,11972390
Francisco Nouet,941421,11,M,False,58,9,mid_1,4/4,MED,Away,Brown de Adrogué,4-4-2,4,4,2,52.84375,82.96875,32.0,11972390
Franco Benitez,1131817,10,F,False,90,10,ata,1/2,ATA,Away,Brown de Adrogué,4-4-2,4,4,2,69.521739130435,59.326086956522,46.0,11972390
Franco Pulicastro,1020530,9,F,False,72,11,ata,2/2,ATA,Away,Brown de Adrogué,4-4-2,4,4,2,61.512820512821,49.358974358974,39.0,11972390
Matías Sproat,973659,18,M,True,32,12,,,SUS,Away,Brown de Adrogué,4-4-2,4,4,2,55.307692307692,52.0,26.0,11972390
Leonel Buter,288837,20,F,True,32,13,,,SUS,Away,Brown de Adrogué,4-4-2,4,4,2,51.538461538462,57.230769230769,13.0,11972390
Marcos Salvaggio,896844,19,F,True,18,14,,,SUS,Away,Brown de Adrogué,4-4-2,4,4,2,70.666666666667,67.0,6.0,11972390
Marcos Salvaggio,896844,19,F,True,18,14,,,SUS,Away,Brown de Adrogué,4-4-2,4,4,2,70.666666666667,67.0,6.0,11972390
Marcos Salvaggio,896844,19,F,True,18,14,,,SUS,Away,Brown de Adrogué,4-4-2,4,4,2,70.666666666667,67.0,6.0,11972390
Marcos Salvaggio,896844,19,F,True,18,14,,,SUS,Away,Brown de Adrogué,4-4-2,4,4,2,70.666666666667,67.0,6.0,11972390
