player_id,team,nationality,birth_date,age,height,preferred_foot,position,shirt_number,market_value,pos,positions
34116,Arsenal de Sarandí,ARG,8 abr 1985,39 años,173 cm,Derecho,M,5,,[],[]
1003022,Arsenal de Sarandí,ARG,7 abr 2002,22 años,179 cm,Izquierdo,M,18,120K €,[],[]
1613988,Arsenal de Sarandí,ARG,23 feb 2004,20 años,M,11,ARG,20 años,,[],[]
976228,Arsenal de Sarandí,ARG,13 mar 2000,24 años,169 cm,Izquierdo,M,8,54K €,[],[]
1095007,Arsenal de Sarandí,ARG,5 nov 2001,23 años,172 cm,Izquierdo,M,7,160K €,[],[]
1185974,Arsenal de Sarandí,ITA,25 abr 2003,21 años,171 cm,Derecho,M,15,,[],[]
1653801,Arsenal de Sarandí,ARG,21 jun 1999,25 años,Derecho,M,7,ARG,,[],[]
1426170,Arsenal de Sarandí,ARG,24 abr 2003,21 años,178 cm,Izquierdo,M,17,,[],[]
1799657,Arsenal de Sarandí,ARG,23 abr 2004,20 años,Derecho,M,16,ARG,,[],[]
1466649,Arsenal de Sarandí,ARG,6 abr 2004,20 años,M,14,ARG,20 años,,[],[]
1131023,Arsenal de Sarandí,ARG,10 ago 2001,23 años,187 cm,Derecho,D,6,145K €,[],[]
1086907,Arsenal de Sarandí,ARG,1 mar 2004,20 años,184 cm,Derecho,D,19,52K €,[],[]
1114485,Arsenal de Sarandí,ARG,1 ago 2002,22 años,174 cm,Derecho,D,4,105K €,[],[]
850892,Arsenal de Sarandí,ARG,22 jul 1999,25 años,177 cm,Derecho,D,2,77K €,[],[]
1182248,Arsenal de Sarandí,ARG,17 feb 2003,21 años,179 cm,Izquierdo,D,3,97K €,[],[]
1914295,Arsenal de Sarandí,,Número de Camiseta,15,D,15,,,,[],[]
1087040,Arsenal de Sarandí,ARG,13 ago 2001,23 años,187 cm,Derecho,G,12,,[],[]
1086974,Arsenal de Sarandí,ARG,23 may 2000,24 años,190 cm,Derecho,G,1,55K €,[],[]
1018400,Arsenal de Sarandí,ARG,19 may 2000,24 años,180 cm,Derecho,G,1,26K €,[],[]
1858462,Arsenal de Sarandí,ARG,Número de Camiseta,13,ARG,13,,,,[],[]
1907200,Arsenal de Sarandí,,Número de Camiseta,15,,,,,,[],[]
1198495,Talleres Remedios de Escalada,ARG,28 ene 1999,25 años,198 cm,Derecho,F,9,97K €,[],[]
1020530,Talleres Remedios de Escalada,ARG,23 sept 1999,25 años,189 cm,Derecho,F,11,24K €,[],[]
966484,Talleres Remedios de Escalada,ARG,15 ene 1999,25 años,180 cm,Derecho,F,22,52K €,[],[]
925013,Talleres Remedios de Escalada,ARG,17 mar 1992,32 años,182 cm,Derecho,F,23,190K €,[],[]
1627943,Talleres Remedios de Escalada,ARG,7 ene 1998,26 años,178 cm,Derecho,F,18,26K €,[],[]
896727,Talleres Remedios de Escalada,ARG,23 mar 1996,28 años,180 cm,Derecho,M,5,81K €,[],[]
896925,Talleres Remedios de Escalada,ARG,16 sept 1985,39 años,171 cm,Derecho,M,10,,[],[]
906806,Talleres Remedios de Escalada,ARG,23 feb 1996,28 años,170 cm,Derecho,M,7,24K €,[],[]
1111534,Talleres Remedios de Escalada,ARG,2 may 1998,26 años,177 cm,Izquierdo,M,14,55K €,[],[]
1097734,Talleres Remedios de Escalada,ARG,3 abr 2001,23 años,179 cm,Izquierdo,M,20,,[],[]
940614,Talleres Remedios de Escalada,ARG,20 may 1999,25 años,176 cm,Derecho,M,18,105K €,[],[]
1627958,Talleres Remedios de Escalada,ARG,13 jun 1999,25 años,170 cm,Derecho,M,17,,[],[]
1627962,Talleres Remedios de Escalada,,Posición,M,21,21 años,M,21,,[],[]
789845,Talleres Remedios de Escalada,ARG,28 feb 1995,29 años,180 cm,Derecho,M,8,105K €,[],[]
830704,Talleres Remedios de Escalada,ARG,24 nov 1993,30 años,179 cm,Derecho,M,18,46K €,[],[]
1214062,Talleres Remedios de Escalada,ARG,3 abr 1996,28 años,175 cm,Derecho,M,19,77K €,[],[]
1627942,Talleres Remedios de Escalada,,Posición,M,23,23 años,M,23,,[],[]
1121932,Talleres Remedios de Escalada,ARG,9 nov 1999,25 años,180 cm,Izquierdo,D,6,120K €,[],[]
122626,Talleres Remedios de Escalada,ARG,5 ene 1991,33 años,180 cm,Izquierdo,D,13,54K €,[],[]
