time,incidentType,incidentClass,isHome,player_id,player_shortName,player_jerseyNumber,playerIn_id,playerIn_shortName,playerIn_jerseyNumber,playerOut_id,playerOut_shortName,playerOut_jerseyNumber
58,substitution,regular,away,,,,973659.0,M. Sproat,10,896860.0,N. Pereyra,5
57,goal,regular,home,147350.0,E. Rescaldani,,,,,,,
50,card,yellow,away,896860.0,N. Pereyra,5,,,,,,
48,card,yellow,away,1020530.0,F. Pulicastro,11,,,,,,
45,period,,home,,,,,,,,,
45,injuryTime,,home,,,,,,,,,
42,card,yellow,home,1092606.0,J. M. Rojas,12,,,,,,
29,card,yellow,home,544188.0,R. Arciero,4,,,,,,
3,goal,regular,home,544188.0,R. Arciero,4,,,,,,
90,period,,home,,,,,,,,,
90,goal,ownGoal,home,1213805.0,M. R. Gómez,3,,,,,,
90,card,yellow,away,1213805.0,M. R. Gómez,3,,,,,,
90,substitution,regular,home,,,,974678.0,N. Fernández,3,1597469.0,J. A. Benítez,2
90,injuryTime,,home,,,,,,,,,
85,substitution,regular,away,,,,897102.0,N. Gómez,5,122635.0,C. Mosca,17
82,card,yellow,away,122635.0,C. Mosca,17,,,,,,
82,card,yellow,home,1597469.0,J. A. Benítez,2,,,,,,
74,substitution,regular,away,,,,1388385.0,M. Campos,19,1125263.0,M. López,20
74,substitution,regular,away,,,,1022776.0,M. Levato,9,1086246.0,J. A. Peréz,25
74,substitution,regular,away,,,,340899.0,F. Mussis,16,842865.0,R. Blanco,10
64,substitution,regular,home,,,,1385677.0,E. Luna,18,1605139.0,F. F. Acosta,19
64,substitution,regular,home,,,,1001815.0,E. Contreras,7,898894.0,M. Valdivia,17
64,substitution,regular,home,,,,1388907.0,J. Berón,9,1654180.0,I. G. Valenzuela,15
55,substitution,regular,home,,,,1597457.0,D. L. Sacarías,2,789382.0,V. Perales,14
53,card,yellow,away,896790.0,A. Lorenzo,4,,,,,,
45,period,,home,,,,,,,,,
45,card,yellow,away,842865.0,R. Blanco,10,,,,,,
45,injuryTime,,home,,,,,,,,,
26,card,yellow,home,944659.0,S. Briñone,8,,,,,,
22,card,yellow,home,789382.0,V. Perales,14,,,,,,
7,card,yellow,away,971201.0,F. Murillo,4,,,,,,
90,period,,home,,,,,,,,,
90,injuryTime,,home,,,,,,,,,
87,substitution,regular,away,,,,791141.0,F. Melivillo,11,942371.0,M. Rojas,8
87,substitution,regular,away,,,,1464853.0,T. Cravero,5,557108.0,N. Luján,19
84,card,yellow,home,1605507.0,R. Cao,20,,,,,,
83,card,yellow,away,973649.0,F. Manenti,14,,,,,,
79,substitution,regular,home,,,,943180.0,L. Sánchez,4,1108984.0,N. Monserrat,2
75,substitution,regular,away,,,,973516.0,A. Pereyra,13,973551.0,I. Antunes,11
75,substitution,regular,away,,,,1110286.0,M. Batallini,7,796102.0,D. Sosa,11
75,substitution,regular,away,,,,846567.0,I. Escobar,16,1598512.0,P. I. M. Grance,3
73,substitution,regular,home,,,,1102451.0,M. Rogoski,16,896727.0,N. Palmieri,5
73,substitution,regular,home,,,,1121938.0,D. Vergara,31,1198495.0,N. Molina,9
65,card,yellow,home,1108984.0,N. Monserrat,2,,,,,,
61,substitution,regular,home,,,,1605507.0,R. Cao,20,966484.0,M. Donato,22
61,substitution,regular,home,,,,789845.0,T. Asprea,8,1111534.0,A. Campana,14
45,period,,home,,,,,,,,,
45,card,yellow,away,974033.0,D. Rentería,20,,,,,,
42,card,yellow,home,896727.0,N. Palmieri,5,,,,,,
37,card,yellow,away,796102.0,D. Sosa,11,,,,,,
20,card,yellow,home,1198495.0,N. Molina,9,,,,,,
90,period,,home,,,,,,,,,
80,substitution,regular,home,,,,1653799.0,L. Alfonso,9,871518.0,M. A. Gimenez,10
80,substitution,regular,away,,,,1597466.0,F. N. Krüger,7,777249.0,H. Da Campo,5
76,substitution,regular,home,,,,1394197.0,A. Steimbach,4,1017458.0,M. Enrique,13
76,substitution,regular,home,,,,1653792.0,S. Puzzo,15,946161.0,L. Parisi,7
76,substitution,regular,home,,,,79688.0,F. Bordagaray,19,1084975.0,R. Luna,10
73,substitution,regular,away,,,,1597455.0,B. E. Sánchez,,600602.0,F. Ilarregui,16
70,substitution,regular,home,,,,1187055.0,T. Gonzalez,20,1512471.0,A. Batista,11
63,substitution,regular,away,,,,1650569.0,J. Mavilla,20,1018388.0,E. Ibáñez,14
63,substitution,regular,away,,,,1183039.0,J. G. Frías,11,263649.0,J. M. Imbert,17
60,card,yellow,away,1514550.0,P. Casarico,6,,,,,,
57,card,yellow,away,263649.0,J. M. Imbert,17,,,,,,
54,goal,regular,home,1017458.0,M. Enrique,13,,,,,,
46,substitution,regular,away,,,,871813.0,M. Arturia,11,897110.0,R. Mazur,3
45,period,,home,,,,,,,,,
45,injuryTime,,home,,,,,,,,,
28,card,yellow,home,1512471.0,A. Batista,11,,,,,,
23,goal,penalty,home,871518.0,M. A. Gimenez,10,,,,,,
90,period,,home,,,,,,,,,
90,card,yellow,home,1092337.0,T. Bottari,5,,,,,,
88,substitution,regular,away,,,,1654222.0,D. Vásquez,10,1211612.0,F. Vedoya,11
88,substitution,regular,away,,,,992116.0,P. Pérez,,289773.0,L. Jérez,5
87,goal,regular,home,996708.0,I. Maggi,7,,,,,,
82,substitution,regular,home,,,,1492488.0,A. Paz,19,800243.0,F. Castro,9
82,substitution,regular,home,,,,996708.0,I. Maggi,7,989881.0,R. Balbuena,11
71,substitution,regular,home,,,,1187883.0,M. Amarfil,10,1597465.0,G. M. Altamirano,8
63,substitution,regular,away,,,,1113234.0,D. Puca,17,1117099.0,R. Conechny,11
63,substitution,regular,away,,,,1108647.0,J. Mendoza,15,1654220.0,G. N. Obredor,
63,substitution,regular,away,,,,1199316.0,N. Troncoso,20,1500707.0,G. J. A. Silva,18
61,card,yellow,away,249273.0,F. Mattia,6,,,,,,
59,substitution,regular,home,,,,175343.0,A. Escobar,18,581732.0,E. Trinidad,17
59,substitution,regular,home,,,,974656.0,E. Cardozo,10,1416978.0,M. Bergara,37
45,period,,home,,,,,,,,,
90,period,,home,,,,,,,,,
90,card,yellow,home,885186.0,F. Godoy,3,,,,,,
90,card,yellow,home,1654132.0,A. Fernández,,,,,,,
90,substitution,regular,away,,,,250237.0,P. Vidal,19,828869.0,J. D. Galeano,8
87,card,yellowRed,home,1100246.0,I. Guerrico,3,,,,,,
85,card,yellow,away,895351.0,F. Quiroz,3,,,,,,
84,substitution,regular,home,,,,1086331.0,E. Britez,20,1093119.0,A. Colazo,9
84,substitution,regular,home,,,,1598444.0,I. E. Martierena,7,1086999.0,G. Piñeiro,8
75,substitution,regular,home,,,,1654132.0,A. Fernández,,939935.0,N. Laméndola,11
74,substitution,regular,away,,,,248105.0,L. Albertengo,18,1117089.0,N. Fúnez,9
74,substitution,regular,away,,,,1561867.0,L. Merlino,23,333761.0,J. Capurro,5
71,card,yellow,away,333761.0,J. Capurro,5,,,,,,
71,card,yellow,away,941539.0,G. Pugliese,,,,,,,
64,substitution,regular,away,,,,1131065.0,B. Tomatis,10,1197692.0,A. Berrondo,18
61,card,yellow,home,385424.0,G. M. Soto,2,,,,,,
50,substitution,regular,home,,,,1048283.0,N. Guzmán,10,1213809.0,E. Torres,7
48,goal,regular,away,1197692.0,A. Berrondo,18,,,,,,
45,period,,home,,,,,,,,,
43,card,yellow,home,1213809.0,E. Torres,7,,,,,,
38,card,yellow,away,248093.0,M. Fissore,5,,,,,,
31,card,yellow,home,1100246.0,I. Guerrico,3,,,,,,
90,period,,home,,,,,,,,,
90,injuryTime,,home,,,,,,,,,
86,substitution,regular,away,,,,1131033.0,R. Montes,17,1597504.0,A. Y. Abet,8
80,substitution,regular,home,,,,971190.0,M. Kabalin,8,1182500.0,M. Véron,18
80,substitution,regular,home,,,,1138077.0,I. Zafarana,13,823983.0,I. Molinas,16
78,substitution,regular,away,,,,47333.0,C. Menéndez,18,1092314.0,J. E. Juárez,8
78,substitution,regular,away,,,,1151708.0,B. Palavecino,20,246161.0,H. Soria,5
73,goal,regular,home,992112.0,N. Banegas,3,,,,,,
68,substitution,regular,away,,,,1383864.0,J. P. Córdoba,17,943794.0,F. Molina,10
68,substitution,regular,away,,,,1097900.0,L. Chiozza,16,93199.0,L. M. Rodríguez,7
66,card,yellow,home,939949.0,J. Orellana,2,,,,,,
60,substitution,regular,home,,,,88945.0,G. Klusener,20,1095005.0,L. Monje,22
60,substitution,regular,home,,,,872142.0,A. Bordon,4,1654129.0,T. Penalba,23
51,substitution,regular,home,,,,830586.0,M. Garcia,7,939950.0,G. Abregú,5
45,period,,home,,,,,,,,,
45,card,yellow,away,943794.0,F. Molina,10,,,,,,
42,card,yellow,home,992112.0,N. Banegas,3,,,,,,
28,card,yellow,away,1092314.0,J. E. Juárez,8,,,,,,
90,period,,home,,,,,,,,,
90,injuryTime,,home,,,,,,,,,
86,card,yellow,away,1114507.0,N. Cavagnero,8,,,,,,
76,substitution,regular,away,,,,788039.0,F. Caballero,20,883930.0,B. Guerra,16
76,substitution,regular,away,,,,1065970.0,J. N. González,17,897010.0,J. Velázquez,9
71,substitution,regular,away,,,,1801720.0,F. Palazuelo,16,1597625.0,J. C. P. D. León,4
71,substitution,regular,away,,,,1465291.0,M. Ortigoza,18,1111551.0,F. Lonardi,19
70,goal,penalty,home,814225.0,A. Rodriguez,17,,,,,,
67,substitution,regular,home,,,,941433.0,C. Vega,5,249899.0,F. Jourdan,8
67,substitution,regular,home,,,,794761.0,N. Delgadillo,16,78851.0,S. Prediger,20
62,substitution,regular,home,,,,842861.0,C. Bernardi,10,873642.0,B. Guille,11
62,substitution,regular,home,,,,814225.0,A. Rodriguez,17,33776.0,J. Toledo,14
59,goal,regular,away,896954.0,M. Nizzo,5,,,,,,
57,substitution,regular,away,,,,882655.0,M. Peralta,19,938553.0,J. Suárez,11
47,substitution,regular,home,,,,1654193.0,L. E. Picech,,933157.0,J. N. Granados,15
45,period,,home,,,,,,,,,
45,injuryTime,,home,,,,,,,,,
43,card,yellow,home,933157.0,J. N. Granados,15,,,,,,
40,goal,regular,home,1132948.0,I. Lago,11,,,,,,
26,card,yellow,away,896954.0,M. Nizzo,5,,,,,,
90,period,,home,,,,,,,,,
90,card,yellow,home,1110285.0,F. Miño,2,,,,,,
87,card,yellow,away,1104321.0,F. Bisanz,10,,,,,,
81,substitution,regular,home,,,,789681.0,L. Villarruel,8,1537840.0,S. Gauna,5
81,substitution,regular,home,,,,925013.0,G. Rivero,23,1400483.0,J. L. Escurra,17
81,substitution,regular,home,,,,1654535.0,K. Barrionuevo,15,895202.0,L. Guzmán,17
76,goal,regular,away,1104321.0,F. Bisanz,10,,,,,,
75,substitution,regular,away,,,,1104321.0,F. Bisanz,10,1092324.0,A. Dramisino,8
70,card,yellow,away,1654532.0,T. A. Silva,3,,,,,,
67,substitution,regular,home,,,,895226.0,L. Vella,17,1597477.0,A. A. M. Salinas,
63,substitution,regular,away,,,,1095007.0,L. Ríos,7,801254.0,C. Lattanzio,8
59,substitution,regular,home,,,,1654536.0,R. A. Pittavino,,1654533.0,B. C. Cenci,16
46,substitution,regular,away,,,,1654532.0,T. A. Silva,3,843404.0,L. Marinucci,11
46,substitution,regular,away,,,,128384.0,D. Gissi,2,249869.0,A. Alegre,2
46,substitution,regular,away,,,,581778.0,M. Gonzalez,19,1475211.0,N. Mosca,16
45,period,,home,,,,,,,,,
6,card,yellow,home,1537840.0,S. Gauna,5,,,,,,
4,card,yellow,away,965967.0,J. M. Requena,16,,,,,,
90,period,,home,,,,,,,,,
90,card,yellow,away,1654395.0,H. Brylko,19,,,,,,
90,injuryTime,,home,,,,,,,,,
82,substitution,regular,home,,,,1597542.0,K. A. Pavía,19,1653801.0,I. Sabatini,7
82,substitution,regular,away,,,,1108987.0,M. G. Brambillo,16,1389869.0,E. Griffa,16
82,substitution,regular,away,,,,166045.0,G. Papa,5,871808.0,L. Belleggia,8
79,substitution,regular,away,,,,798838.0,R. Rios,2,895213.0,C. Broggi,14
75,goal,regular,away,871808.0,L. Belleggia,8,,,,,,
67,substitution,regular,away,,,,915161.0,M. Molina,23,33236.0,E. Faccioli,6
67,substitution,regular,away,,,,1134870.0,D. Véliz,11,1098306.0,F. Torres,18
62,goal,regular,home,1653801.0,I. Sabatini,7,,,,,,
61,substitution,regular,home,,,,1613988.0,V. Serrano,11,80879.0,G. Díaz,24
61,substitution,regular,home,,,,1114485.0,A. Amaya,4,1182248.0,I. Cabrera,3
55,substitution,regular,home,,,,1131023.0,B. Bernardi,6,1654490.0,V. A. Sánchez,
55,substitution,regular,home,,,,1003022.0,J. P. Krilanovich,18,1185974.0,M. Trombini,15
48,card,yellow,home,1185974.0,M. Trombini,15,,,,,,
45,period,,home,,,,,,,,,
13,card,yellow,away,790026.0,M. A. Escudero,13,,,,,,
90,period,,home,,,,,,,,,
90,injuryTime,,home,,,,,,,,,
86,substitution,regular,home,,,,1638680.0,M. Esparza,17,1627952.0,F. Rojas,15
86,substitution,regular,home,,,,1638681.0,M. Ibáñez,20,1466109.0,D. Carrasco,8
77,card,yellow,home,897148.0,I. Sanabria,3,,,,,,
76,substitution,regular,home,,,,251029.0,G. Milan,,1110009.0,F. Heredia,11
71,goal,regular,home,1466109.0,D. Carrasco,8,,,,,,
67,substitution,regular,away,,,,943793.0,G. Lucero,18,122668.0,L. Kruspzky,
67,substitution,regular,away,,,,1087050.0,M. Maccari,16,979657.0,B. Nievas,7
65,substitution,regular,home,,,,885005.0,A. Cháves,10,1182428.0,L. Gordillo,9
65,substitution,regular,home,,,,864074.0,T. Attis,19,122613.0,W. Busse,14
57,substitution,regular,away,,,,831798.0,M. Quiroga,,385316.0,A. Bellone,4
57,substitution,regular,away,,,,876726.0,B. Obregon,10,1183523.0,A. Sombra,11
46,substitution,regular,away,,,,859983.0,T. López,18,1111886.0,Leyendeker,6
45,period,,home,,,,,,,,,
44,card,yellow,away,979657.0,B. Nievas,7,,,,,,
42,goal,penalty,home,122613.0,W. Busse,14,,,,,,
18,card,yellow,away,385316.0,A. Bellone,4,,,,,,
90,period,,home,,,,,,,,,
