name,value,inf,sup
01/01,3,0,6
01/02,2.17,0,6
02/02,3.83,0,6
01/03,1.5,0,6
02/03,3,0,6
03/03,4.5,0,6
01/04,0.5,0,6
02/04,2.17,0,6
03/04,3.83,0,6
04/04,5.5,0,6
01/05,0.5,0,6
02/05,1.75,0,6
03/05,3,0,6
04/05,4.5,0,6
05/05,5.5,0,6
