minute,value,event_id
9.0,7,11972407
10.0,2,11972407
11.0,-3,11972407
12.0,-4,11972407
13.0,4,11972407
14.0,34,11972407
15.0,24,11972407
16.0,7,11972407
17.0,2,11972407
18.0,-23,11972407
19.0,-29,11972407
20.0,-16,11972407
21.0,-32,11972407
22.0,-22,11972407
23.0,-10,11972407
24.0,-3,11972407
25.0,6,11972407
26.0,16,11972407
27.0,10,11972407
28.0,7,11972407
29.0,10,11972407
30.0,-30,11972407
31.0,26,11972407
32.0,8,11972407
33.0,-29,11972407
34.0,-20,11972407
35.0,-19,11972407
36.0,-32,11972407
37.0,-24,11972407
38.0,-16,11972407
39.0,-4,11972407
40.0,-1,11972407
41.0,2,11972407
42.0,18,11972407
43.0,42,11972407
44.0,26,11972407
45.0,22,11972407
45.5,5,11972407
46.0,-4,11972407
47.0,-11,11972407
48.0,-56,11972407
49.0,-32,11972407
50.0,-8,11972407
51.0,-8,11972407
52.0,12,11972407
53.0,25,11972407
54.0,17,11972407
55.0,6,11972407
56.0,10,11972407
57.0,7,11972407
58.0,65,11972407
59.0,35,11972407
60.0,18,11972407
61.0,17,11972407
62.0,-39,11972407
63.0,-21,11972407
64.0,-6,11972407
65.0,52,11972407
66.0,56,11972407
67.0,33,11972407
68.0,41,11972407
69.0,100,11972407
70.0,61,11972407
71.0,36,11972407
72.0,23,11972407
73.0,14,11972407
74.0,3,11972407
75.0,14,11972407
76.0,-44,11972407
77.0,-15,11972407
78.0,32,11972407
79.0,15,11972407
80.0,-29,11972407
81.0,-3,11972407
82.0,-1,11972407
83.0,7,11972407
84.0,4,11972407
85.0,6,11972407
86.0,5,11972407
87.0,10,11972407
88.0,2,11972407
89.0,-29,11972407
90.0,-21,11972407
90.5,35,11972407
0.0,0,11972413
1.0,17,11972413
2.0,15,11972413
3.0,19,11972413
4.0,17,11972413
5.0,15,11972413
6.0,14,11972413
7.0,19,11972413
8.0,12,11972413
9.0,13,11972413
10.0,18,11972413
11.0,16,11972413
12.0,-15,11972413
13.0,5,11972413
14.0,16,11972413
15.0,9,11972413
16.0,21,11972413
17.0,19,11972413
18.0,26,11972413
19.0,19,11972413
20.0,91,11972413
21.0,57,11972413
22.0,33,11972413
23.0,27,11972413
24.0,15,11972413
25.0,1,11972413
26.0,-7,11972413
27.0,-6,11972413
28.0,-27,11972413
29.0,-8,11972413
30.0,8,11972413
31.0,10,11972413
32.0,14,11972413
33.0,18,11972413
34.0,8,11972413
35.0,7,11972413
36.0,-8,11972413
37.0,-2,11972413
38.0,-20,11972413
39.0,-10,11972413
40.0,-3,11972413
41.0,2,11972413
42.0,2,11972413
43.0,6,11972413
44.0,5,11972413
45.0,34,11972413
45.5,-235,11972413
46.0,-27,11972413
47.0,202,11972413
48.0,12,11972413
49.0,-9,11972413
50.0,-10,11972413
51.0,-3,11972413
52.0,-65,11972413
53.0,-40,11972413
54.0,-17,11972413
55.0,-3,11972413
56.0,12,11972413
57.0,12,11972413
58.0,20,11972413
59.0,23,11972413
60.0,15,11972413
61.0,10,11972413
62.0,13,11972413
63.0,34,11972413
64.0,21,11972413
65.0,44,11972413
66.0,23,11972413
67.0,10,11972413
68.0,16,11972413
69.0,11,11972413
70.0,1,11972413
71.0,-24,11972413
72.0,-67,11972413
73.0,-75,11972413
74.0,-4,11972413
75.0,-1,11972413
76.0,28,11972413
77.0,22,11972413
78.0,42,11972413
79.0,49,11972413
80.0,40,11972413
81.0,23,11972413
82.0,10,11972413
83.0,-24,11972413
84.0,-19,11972413
85.0,-16,11972413
86.0,-4,11972413
87.0,6,11972413
88.0,10,11972413
89.0,-15,11972413
90.0,-9,11972413
90.5,-135,11972413
1.0,23,11972418
2.0,25,11972418
3.0,53,11972418
4.0,30,11972418
5.0,18,11972418
6.0,9,11972418
7.0,15,11972418
8.0,6,11972418
9.0,3,11972418
10.0,3,11972418
11.0,3,11972418
12.0,-5,11972418
13.0,-8,11972418
14.0,-10,11972418
15.0,-1,11972418
16.0,-61,11972418
17.0,-56,11972418
18.0,80,11972418
19.0,34,11972418
20.0,20,11972418
21.0,36,11972418
22.0,27,11972418
23.0,10,11972418
24.0,15,11972418
25.0,13,11972418
26.0,-6,11972418
27.0,-7,11972418
28.0,-15,11972418
29.0,-16,11972418
30.0,-16,11972418
31.0,-6,11972418
32.0,4,11972418
33.0,6,11972418
34.0,23,11972418
35.0,18,11972418
36.0,-12,11972418
37.0,-13,11972418
38.0,29,11972418
39.0,-117,11972418
40.0,-100,11972418
41.0,-56,11972418
42.0,-39,11972418
43.0,-27,11972418
44.0,-30,11972418
45.0,-17,11972418
45.5,10,11972418
46.0,-7,11972418
47.0,-11,11972418
48.0,-8,11972418
49.0,-2,11972418
50.0,-33,11972418
51.0,-21,11972418
52.0,-19,11972418
53.0,-13,11972418
54.0,-35,11972418
55.0,-20,11972418
56.0,-13,11972418
57.0,-34,11972418
58.0,-16,11972418
59.0,9,11972418
60.0,-2,11972418
61.0,-2,11972418
62.0,-31,11972418
63.0,-19,11972418
64.0,-3,11972418
65.0,-3,11972418
66.0,-23,11972418
67.0,-12,11972418
68.0,-8,11972418
69.0,25,11972418
70.0,6,11972418
71.0,5,11972418
72.0,3,11972418
73.0,16,11972418
74.0,7,11972418
75.0,14,11972418
76.0,8,11972418
77.0,10,11972418
78.0,44,11972418
79.0,26,11972418
80.0,4,11972418
81.0,-46,11972418
82.0,-27,11972418
83.0,-15,11972418
84.0,30,11972418
85.0,9,11972418
86.0,24,11972418
87.0,-126,11972418
88.0,-62,11972418
89.0,45,11972418
90.0,30,11972418
90.5,10,11972418
1.0,-7,11972409
2.0,-7,11972409
3.0,-3,11972409
4.0,-1,11972409
5.0,3,11972409
6.0,8,11972409
7.0,13,11972409
8.0,9,11972409
9.0,38,11972409
10.0,30,11972409
11.0,19,11972409
12.0,53,11972409
13.0,33,11972409
14.0,23,11972409
15.0,-35,11972409
16.0,-18,11972409
17.0,26,11972409
18.0,8,11972409
19.0,1,11972409
20.0,-4,11972409
21.0,6,11972409
22.0,4,11972409
23.0,8,11972409
24.0,7,11972409
25.0,5,11972409
26.0,3,11972409
27.0,-20,11972409
28.0,-22,11972409
29.0,-3,11972409
30.0,45,11972409
31.0,27,11972409
32.0,18,11972409
33.0,17,11972409
34.0,10,11972409
35.0,-10,11972409
36.0,-5,11972409
37.0,-8,11972409
38.0,5,11972409
39.0,6,11972409
40.0,10,11972409
41.0,11,11972409
42.0,-70,11972409
43.0,-27,11972409
44.0,-55,11972409
