event_id,round_number,home_id,home_shortName,home_score,away_id,away_shortName,away_score
11972459,4,3221,Arsenal,1.0,264945,San Miguel,0.0
11972457,4,3214,Chacarita Jrs.,0.0,201162,Talleres R.E.,1.0
11972468,4,93109,Dep. Morón,1.0,213361,San Telmo,2.0
11972471,4,222126,Gimnasia y Tiro,1.0,93515,Def. Unidos,0.0
11972461,4,53801,Guillermo Brown,1.0,213042,Deportivo Maipú,1.0
11972472,4,255425,Mitre,0.0,53799,Atlanta,0.0
11972467,4,112499,Temperley,1.0,252726,Chaco For Ever,1.0
11972460,4,7772,San Martín,3.0,36841,Ferro Carril Oeste,2.0
11972465,4,43741,Patronato,2.0,273657,Racing de Córdoba,1.0
11972474,4,266694,Estudiantes R.C.,1.0,3207,Colón,2.0
12091120,4,23950,SM Tucumán,0.0,4936,Quilmes,0.0
12091139,4,188441,Gimnasia Mendoza,2.0,222120,Deportivo Madryn,1.0
11972490,5,34976,Atlético Rafaela,1.0,93109,Dep. Morón,2.0
11972487,5,53799,Atlanta,,222126,Gimnasia y Tiro,
11972493,5,52215,Defensores,0.0,4938,Almagro,0.0
11972489,5,222120,Deportivo Madryn,0.0,3200,Nueva Chicago,0.0
11972484,5,93107,Estudiantes B.A.,0.0,3214,Chacarita Jrs.,0.0
11972481,5,264945,San Miguel,1.0,7772,San Martín,1.0
11972480,5,36841,Ferro Carril Oeste,1.0,53801,Guillermo Brown,2.0
11972492,5,252726,Chaco For Ever,3.0,107201,Brown de Adrogué,0.0
11972482,5,4936,Quilmes,0.0,3221,Arsenal,0.0
11972486,5,43740,Almirante Brown,2.0,255425,Mitre,0.0
11972488,5,93515,Def. Unidos,3.0,188441,Gimnasia Mendoza,1.0
11972478,5,5292,Gimnasia J.,0.0,36834,All Boys,1.0
11972477,5,224646,Güemes,2.0,93513,Tristán Suárez,2.0
11972479,5,213042,Deportivo Maipú,1.0,265787,Agropecuario,2.0
11972476,5,273715,Alvarado,2.0,43741,Patronato,0.0
11972485,5,3207,Colón,1.0,36836,Aldosivi,1.0
11972483,5,201162,Talleres R.E.,1.0,23950,SM Tucumán,3.0
11972494,5,266694,Estudiantes R.C.,0.0,273657,Racing de Córdoba,0.0
11972491,5,213361,San Telmo,3.0,112499,Temperley,0.0
12112177,5,53799,Atlanta,1.0,222126,Gimnasia y Tiro,1.0
11972497,6,7772,San Martín,0.0,4936,Quilmes,3.0
11972513,6,3214,Chacarita Jrs.,1.0,52215,Defensores,4.0
11972501,6,93513,Tristán Suárez,2.0,5292,Gimnasia J.,1.0
11972499,6,265787,Agropecuario,,36841,Ferro Carril Oeste,
11972510,6,222126,Gimnasia y Tiro,,43740,Almirante Brown,
11972500,6,36834,All Boys,3.0,213042,Deportivo Maipú,2.0
11972508,6,3200,Nueva Chicago,,93515,Def. Unidos,
11972512,6,36836,Aldosivi,1.0,266694,Estudiantes R.C.,1.0
11972506,6,112499,Temperley,1.0,34976,Atlético Rafaela,1.0
11972505,6,107201,Brown de Adrogué,0.0,213361,San Telmo,0.0
11972496,6,3221,Arsenal,2.0,201162,Talleres R.E.,1.0
11972504,6,4938,Almagro,0.0,252726,Chaco For Ever,0.0
11972507,6,93109,Dep. Morón,0.0,222120,Deportivo Madryn,0.0
11972498,6,53801,Guillermo Brown,1.0,264945,San Miguel,1.0
11972503,6,273657,Racing de Córdoba,2.0,273715,Alvarado,0.0
11972511,6,255425,Mitre,2.0,3207,Colón,2.0
11972495,6,23950,SM Tucumán,2.0,93107,Estudiantes B.A.,0.0
11972502,6,43741,Patronato,0.0,224646,Güemes,0.0
11972509,6,188441,Gimnasia Mendoza,2.0,53799,Atlanta,1.0
12158627,6,3200,Nueva Chicago,3.0,93515,Def. Unidos,0.0
12130888,6,265787,Agropecuario,1.0,36841,Ferro Carril Oeste,2.0
12131267,6,222126,Gimnasia y Tiro,0.0,43740,Almirante Brown,0.0
11972520,7,201162,Talleres R.E.,0.0,7772,San Martín,0.0
11972524,7,3207,Colón,,222126,Gimnasia y Tiro,
11972527,7,93515,Def. Unidos,2.0,93109,Dep. Morón,0.0
11972521,7,93107,Estudiantes B.A.,1.0,3221,Arsenal,0.0
11972518,7,264945,San Miguel,1.0,265787,Agropecuario,1.0
11972532,7,36836,Aldosivi,0.0,273715,Alvarado,0.0
11972528,7,222120,Deportivo Madryn,0.0,112499,Temperley,1.0
11972514,7,224646,Güemes,,273657,Racing de Córdoba,
11972530,7,213361,San Telmo,4.0,4938,Almagro,1.0
11972529,7,34976,Atlético Rafaela,,107201,Brown de Adrogué,
11972531,7,252726,Chaco For Ever,,52215,Defensores,
11972517,7,36841,Ferro Carril Oeste,,36834,All Boys,
11972516,7,213042,Deportivo Maipú,1.0,93513,Tristán Suárez,0.0
11972523,7,266694,Estudiantes R.C.,,255425,Mitre,
11972519,7,4936,Quilmes,1.0,53801,Guillermo Brown,0.0
11972515,7,5292,Gimnasia J.,1.0,43741,Patronato,1.0
11972522,7,3214,Chacarita Jrs.,1.0,23950,SM Tucumán,0.0
11972525,7,43740,Almirante Brown,0.0,188441,Gimnasia Mendoza,0.0
12157520,7,36841,Ferro Carril Oeste,2.0,36834,All Boys,2.0
12183621,7,224646,Güemes,0.0,273657,Racing de Córdoba,1.0
11972526,7,53799,Atlanta,0.0,3200,Nueva Chicago,0.0
12159140,7,34976,Atlético Rafaela,0.0,107201,Brown de Adrogué,0.0
12178540,7,252726,Chaco For Ever,3.0,52215,Defensores,0.0
12158125,7,266694,Estudiantes R.C.,0.0,255425,Mitre,0.0
12177656,7,3207,Colón,1.0,222126,Gimnasia y Tiro,0.0
11972535,8,53801,Guillermo Brown,1.0,201162,Talleres R.E.,1.0
11972536,8,265787,Agropecuario,1.0,4936,Quilmes,1.0
11972533,8,3221,Arsenal,3.0,3214,Chacarita Jrs.,1.0
11972548,8,188441,Gimnasia Mendoza,2.0,3207,Colón,0.0
11972543,8,4938,Almagro,1.0,34976,Atlético Rafaela,0.0
11972545,8,112499,Temperley,0.0,93515,Def. Unidos,0.0
11972538,8,93513,Tristán Suárez,1.0,36841,Ferro Carril Oeste,1.0
11972551,8,23950,SM Tucumán,,252726,Chaco For Ever,
11972547,8,3200,Nueva Chicago,1.0,43740,Almirante Brown,0.0
11972541,8,273715,Alvarado,0.0,224646,Güemes,0.0
11972549,8,222126,Gimnasia y Tiro,1.0,266694,Estudiantes R.C.,1.0
11972540,8,273657,Racing de Córdoba,1.0,5292,Gimnasia J.,0.0
11972539,8,43741,Patronato,1.0,213042,Deportivo Maipú,2.0
11972537,8,36834,All Boys,0.0,264945,San Miguel,0.0
11972544,8,107201,Brown de Adrogué,0.0,222120,Deportivo Madryn,1.0
11972534,8,7772,San Martín,0.0,93107,Estudiantes B.A.,0.0
11972546,8,93109,Dep. Morón,3.0,53799,Atlanta,0.0
11972542,8,52215,Defensores,0.0,213361,San Telmo,1.0
11972550,8,255425,Mitre,0.0,36836,Aldosivi,1.0
12180474,8,23950,SM Tucumán,1.0,252726,Chaco For Ever,0.0
11972563,9,3207,Colón,2.0,3200,Nueva Chicago,1.0
11972559,9,3214,Chacarita Jrs.,1.0,7772,San Martín,1.0
11972564,9,43740,Almirante Brown,1.0,93109,Dep. Morón,1.0
11972566,9,93515,Def. Unidos,1.0,107201,Brown de Adrogué,1.0
11972569,9,213361,San Telmo,2.0,252726,Chaco For Ever,0.0
