Goles convertidos,Goles recibidos,Asistencias,Remates,Goles de penal,Penales ejecutados,Regates exitosos,Intentos de regate,Córners,Posesión promedio,Pases totales,Pases precisos,Precisión de pase %,Pases largos totales,Pases largos precisos,Precisión de pase largo %,Centros totales,Centros precisos,Precisión de centros %,Vallas invictas,Intercepciones,Atajadas,Errores seguidos por remate,Duelos totales,Duelos ganados,Efectividad en duelos %,Duelos aéreos totales,Duelos aéreos ganados,Efectividad en duelos aéreos %,Fueras de juego,Faltas,Tarjetas amarillas,Doble amarilla,Tarjetas rojas,Remates en contra,Saques de arco,Recuperaciones,Tiros libre,ID,Partidos,Partidos otorgados,team_id,league_id,season_id
38,37,18,422,5,6,615,904,142,48.7,11414,8316,72.86,2216,1155,52.12,535,167,31.21,14,1574,87,152,9276,3646,39.31,1942,972,50.05,83,533,91,5,5,364,380,3420,172,16560,39,0,273657,703,57782
34,33,19,384,2,4,727,1043,197,48.1,10252,7275,70.96,1945,1023,52.6,698,223,31.95,15,1430,91,156,8978,3333,37.12,1799,701,38.97,80,493,115,6,6,356,354,3212,102,16576,39,0,264945,703,57782
51,44,22,385,3,4,545,788,177,52.9,11925,9005,75.51,1904,1032,54.2,481,139,28.9,10,1395,91,153,8402,3218,38.3,1948,871,44.71,84,464,101,5,6,367,272,3195,158,16555,38,0,36841,703,57782
44,44,26,390,4,6,531,781,200,51.9,13112,9714,74.08,2187,1153,52.72,678,203,29.94,11,1481,128,189,7962,3050,38.31,1573,745,47.36,108,399,77,5,5,446,341,3258,128,16587,38,0,265787,703,57782
45,47,14,383,5,7,519,763,163,49.9,11291,8163,72.3,2198,1037,47.18,467,130,27.84,8,1554,99,162,8427,3256,38.64,1804,858,47.56,89,454,94,3,3,345,311,3283,136,16571,38,0,93513,703,57782
37,49,27,381,1,3,687,1008,125,52.0,12382,9452,76.34,2147,1133,52.77,503,172,34.19,11,1488,101,192,8500,3101,36.48,1412,622,44.05,71,443,90,7,7,404,335,3096,116,16580,38,0,213042,703,57782
32,37,12,416,4,6,498,748,177,47.2,10507,7364,70.09,2162,1124,51.99,511,158,30.92,11,1526,92,159,8972,3421,38.13,2207,960,43.5,103,452,93,2,3,325,277,3547,170,16586,38,0,224646,703,57782
35,44,17,365,4,4,648,917,132,50.3,12146,9201,75.75,1955,1024,52.38,479,163,34.03,14,1597,113,164,9359,3534,37.76,1831,810,44.24,92,493,113,7,7,382,331,3357,153,16551,38,0,3214,703,57782
30,40,13,345,5,5,540,805,183,47.2,10615,7404,69.75,2095,1025,48.93,556,167,30.04,13,1528,121,191,8715,3253,37.33,1914,911,47.6,77,479,84,3,4,388,294,3281,101,16579,38,0,273715,703,57782
36,44,21,373,2,3,554,831,155,48.9,10701,7538,70.44,2232,1161,52.02,482,135,28.01,12,1702,105,188,8995,3404,37.84,2000,964,48.2,106,575,101,4,4,400,259,3465,152,16583,38,0,43741,703,57782
21,36,8,390,2,4,630,951,168,50.4,12189,9135,74.94,1946,1010,51.9,541,156,28.84,16,1551,109,240,9469,3434,36.27,1770,679,38.36,77,496,80,2,2,452,407,3324,111,16558,38,0,3221,703,57782
28,42,17,413,2,3,575,838,185,43.3,10739,7369,68.62,2365,1250,52.85,661,177,26.78,16,1712,109,183,9340,3642,38.99,2161,1002,46.37,86,465,89,7,6,414,392,3521,130,16572,39,0,201162,703,57782
28,44,20,313,0,1,577,908,140,43.4,10881,7744,71.17,2187,1115,50.98,474,164,34.6,7,1689,126,263,9059,3260,35.99,1931,884,45.78,47,566,89,10,10,521,428,3472,123,16574,38,0,53801,703,57782
